,state,account length,international plan,number vmail messages,total day calls,total day charge,total eve calls,total eve charge,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,number customer service calls,Churn
1026,44,0.16033755274261605,0,0.0,0.3821138211382114,0.45285029302077784,0.7837837837837838,0.6641965678627145,0.7983193277310925,0.5397163120567376,0.5025380710659899,0.5625,0.5018796992481203,0.14285714285714285,0
36,4,0.3037974683544304,0,0.0,0.6422764227642277,0.3937133724027704,0.27927927927927926,0.43876755070202805,0.21008403361344538,0.4028368794326241,0.5431472081218274,0.125,0.543233082706767,0.14285714285714285,1
233,41,0.4430379746835443,0,0.5510204081632653,0.5121951219512195,0.6524595986503285,0.7837837837837838,0.547581903276131,0.865546218487395,0.34468085106382973,0.5888324873096447,0.125,0.5883458646616541,0.14285714285714285,0
1642,2,0.3881856540084388,0,0.0,0.4634146341463415,0.3764873024329604,0.43243243243243246,0.5187207488299532,0.6302521008403361,0.5070921985815603,0.34517766497461927,0.1875,0.3458646616541353,0.14285714285714285,0
172,15,0.7763713080168776,0,0.0,0.34959349593495936,0.24826851358550875,0.7567567567567568,0.8010920436817472,0.3949579831932773,0.3709219858156029,0.5279187817258884,0.125,0.5281954887218044,0.42857142857142855,0
442,31,0.3459915611814346,0,0.0,0.5772357723577236,0.12448943349316285,0.3783783783783784,0.30616224648985957,0.2857142857142857,0.3425531914893617,0.583756345177665,0.25,0.5845864661654134,0.2857142857142857,0
42,48,0.5907172995780591,0,0.673469387755102,0.7560975609756098,0.4867696679097851,0.5585585585585585,0.45670826833073325,0.2689075630252101,0.5531914893617021,0.5583756345177665,0.25,0.5582706766917294,0.2857142857142857,0
114,38,0.38396624472573837,0,0.0,0.6260162601626016,0.5395134079204404,0.44144144144144143,0.5620124804992199,0.10084033613445378,0.5886524822695036,0.43147208121827413,0.125,0.4323308270676691,0.14285714285714285,0
382,45,0.47257383966244726,0,0.6122448979591837,0.43089430894308944,0.608950452850293,0.40540540540540543,0.3244929797191888,0.2605042016806723,0.4836879432624114,0.7563451776649747,0.3125,0.7556390977443608,0.2857142857142857,0
341,1,0.2109704641350211,0,0.0,0.5853658536585366,0.10264606641804298,0.34234234234234234,0.5413416536661466,0.5798319327731093,0.5531914893617021,0.6294416243654822,0.1875,0.6296992481203008,0.0,0
417,28,0.5907172995780591,0,0.0,0.7723577235772358,0.6078849227490677,0.3783783783783784,0.47425897035881437,0.3949579831932773,0.3127659574468085,0.6091370558375635,0.5625,0.6090225563909775,0.14285714285714285,0
213,47,0.3881856540084388,0,0.0,0.6341463414634146,0.6256437577694903,0.4774774774774775,0.7102184087363494,0.5546218487394958,0.747517730496454,0.751269035532995,0.1875,0.7518796992481203,0.0,1
294,13,0.18565400843881857,1,0.8163265306122449,0.6504065040650406,0.5187355709465459,0.4954954954954955,0.7468798751950079,0.2857142857142857,0.06524822695035461,0.5482233502538072,0.1875,0.5488721804511277,0.42857142857142855,0
1154,44,0.4472573839662447,0,0.0,0.5203252032520326,0.7563487835198012,0.36036036036036034,0.3619344773790952,0.6470588235294118,0.1843971631205674,0.4974619289340102,0.1875,0.49812030075187963,0.14285714285714285,0
1657,28,0.5864978902953587,0,0.0,0.6585365853658537,0.717101758124667,0.5135135135135135,0.7004680187207488,0.5546218487394958,0.5893617021276596,0.3807106598984772,0.375,0.381578947368421,0.14285714285714285,1
804,1,0.31645569620253167,0,0.0,0.5284552845528455,0.6485526549458356,0.7027027027027027,0.5588923556942278,0.7142857142857143,0.5021276595744681,0.416243654822335,0.3125,0.41541353383458646,0.42857142857142855,1
1246,30,0.569620253164557,0,0.3877551020408163,0.5040650406504065,0.5036405611791867,0.7387387387387387,0.5631825273010921,0.42857142857142855,0.5539007092198582,0.5786802030456853,0.1875,0.5789473684210527,0.14285714285714285,0
191,45,0.29535864978902954,0,1.0,0.7154471544715447,0.5036405611791867,0.36936936936936937,0.40210608424336974,0.6218487394957983,0.2723404255319149,0.39593908629441626,0.25,0.3966165413533834,0.14285714285714285,0
550,11,0.5527426160337553,0,0.0,0.8943089430894309,0.4018824365121648,0.40540540540540543,0.8205928237129485,0.6722689075630253,0.3411347517730497,0.5939086294416244,0.25,0.5939849624060151,0.2857142857142857,0
536,1,0.4641350210970464,0,0.0,0.5934959349593496,0.5453738234771799,0.23423423423423423,0.6587363494539782,0.35294117647058826,0.41276595744680855,0.5329949238578681,0.4375,0.5338345864661653,0.0,0
75,45,0.34177215189873417,0,0.0,0.6341463414634146,0.4988456757236725,0.40540540540540543,0.2796411856474259,0.2689075630252101,0.43475177304964546,0.44670050761421326,0.5625,0.4473684210526315,0.14285714285714285,0
348,2,0.6455696202531646,0,0.0,0.6585365853658537,0.8344876576096608,0.5315315315315315,0.44422776911076445,0.11764705882352941,0.8276595744680851,0.44670050761421326,0.3125,0.4473684210526315,0.0,1
301,49,0.4641350210970464,0,0.0,0.6016260162601627,0.49618185047060914,0.5585585585585585,0.5206708268330734,0.3697478991596639,0.6134751773049646,0.5431472081218274,0.25,0.543233082706767,0.42857142857142855,0
320,37,0.41350210970464135,0,0.0,0.6829268292682927,0.6455336529923636,0.5405405405405406,0.30343213728549145,0.42016806722689076,0.4851063829787234,0.6142131979695431,0.25,0.6146616541353384,0.0,0
433,25,0.7257383966244726,0,0.0,0.3333333333333333,0.2262475581601847,0.4594594594594595,0.5101404056162248,0.8403361344537815,0.5106382978723405,0.4873096446700508,0.125,0.48684210526315785,0.14285714285714285,0
1354,19,0.4050632911392405,1,0.0,0.21138211382113822,0.8019889895222874,0.6216216216216216,0.5608424336973479,0.17647058823529413,0.6333333333333333,0.3096446700507614,0.5,0.31015037593984957,0.7142857142857143,1
560,5,0.5274261603375527,0,0.0,0.3902439024390244,0.3406144556917066,0.6036036036036037,0.5514820592823713,0.7563025210084033,0.849645390070922,0.3807106598984772,0.375,0.381578947368421,0.14285714285714285,0
783,7,0.4008438818565401,0,0.0,0.6991869918699187,0.6359438820813355,0.5855855855855856,0.30616224648985957,0.5462184873949579,0.5780141843971631,0.5888324873096447,0.1875,0.5883458646616541,0.0,0
